label,support,f1_request_only,f1_response_enriched,delta_f1
benign,54,0.8421052631578947,0.8775510204081632,0.03544575725026855
credentials,24,0.9411764705882353,0.9411764705882353,0.0
dos,24,0.8070175438596491,0.8846153846153846,0.0775978407557355
injection,6,0.0,0.0,0.0
recon,25,0.9019607843137255,0.8679245283018868,-0.034036256011838684
tollfraud,6,0.0,0.0,0.0
macro,139,0.5820433436532507,0.5952112339856116,0.013167890332360876
binary_oof,139,0.9180327868852459,0.9333333333333333,0.015300546448087426
